,class,fine_class,text,target
128,TRS,K2E,영어로 가르치다는 무엇인가?,가르치다
129,TRS,K2E,영어로 이해하다는 무엇인가?,이해하다
130,TRS,K2E,영어로 교회에는 무엇인가?,교회에
131,TRS,K2E,영어로 이는 무엇인가?,이
132,TRS,K2E,영어로 주사위는 무엇인가?,주사위
133,TRS,K2E,영어로 전화는 무엇인가?,전화
134,TRS,K2E,영어로 단계는 무엇인가?,단계
135,TRS,K2E,영어로 표는 무엇인가?,표
136,TRS,K2E,영어로 공기는 무엇인가?,공기
137,TRS,K2E,영어로 가스는 무엇인가?,가스
138,TRS,K2E,영어로 종료는 무엇인가?,종료
139,TRS,K2E,영어로 바닷가는 무엇인가?,바닷가
140,TRS,K2E,영어로 하여야 한다는 무엇인가?,하여야 한다
141,TRS,K2E,영어로 테니스는 무엇인가?,테니스
142,TRS,K2E,영어로 비누는 무엇인가?,비누
143,TRS,K2E,영어로 베이스는 무엇인가?,베이스
144,TRS,K2E,영어로 그곳에는 무엇인가?,그곳에
145,TRS,K2E,영어로 네는 무엇인가?,네
146,TRS,K2E,영어로 줄자는 무엇인가?,줄자
147,TRS,K2E,영어로 음주는 무엇인가?,음주
148,TRS,K2E,영어로 ...에서는 무엇인가?,...에서
149,TRS,K2E,영어로 컴퓨터는 무엇인가?,컴퓨터
150,TRS,K2E,영어로 시는 무엇인가?,시
151,TRS,K2E,영어로 시는 무엇인가?,시
152,TRS,K2E,영어로 떨어져는 무엇인가?,떨어져
153,TRS,K2E,영어로 우표는 무엇인가?,우표
154,TRS,K2E,영어로 샐러드는 무엇인가?,샐러드
155,TRS,K2E,영어로 가위는 무엇인가?,가위
156,TRS,K2E,영어로 요구는 무엇인가?,요구
157,TRS,K2E,영어로 보내다는 무엇인가?,보내다
158,TRS,K2E,영어로 브러시는 무엇인가?,브러시
159,TRS,K2E,영어로 요리는 무엇인가?,요리
160,TRS,K2E,영어로 저녁 식사는 무엇인가?,저녁 식사
161,TRS,K2E,영어로 울음 소리는 무엇인가?,울음 소리
162,TRS,K2E,영어로 저녁 식사는 무엇인가?,저녁 식사
163,TRS,K2E,영어로 우유는 무엇인가?,우유
164,TRS,K2E,영어로 알고있다는 무엇인가?,알고있다
165,TRS,K2E,영어로 드라이브는 무엇인가?,드라이브
166,TRS,K2E,영어로 타기는 무엇인가?,타기
167,TRS,K2E,영어로 놓다는 무엇인가?,놓다
168,TRS,K2E,영어로 포인트는 무엇인가?,포인트
169,TRS,K2E,영어로 표는 무엇인가?,표
170,TRS,K2E,영어로 호랑이는 무엇인가?,호랑이
171,TRS,K2E,영어로 크기는 무엇인가?,크기
172,TRS,K2E,영어로 ...에는 무엇인가?,...에
173,TRS,K2E,영어로 전화는 무엇인가?,전화
174,TRS,K2E,영어로 팔다는 무엇인가?,팔다
175,TRS,K2E,영어로 뭐는 무엇인가?,뭐
176,TRS,K2E,영어로 캠프는 무엇인가?,캠프
177,TRS,K2E,영어로 가로 질러 가다는 무엇인가?,가로 질러 가다
178,TRS,K2E,영어로 말하다는 무엇인가?,말하다
179,TRS,K2E,영어로 기호는 무엇인가?,기호
180,TRS,K2E,영어로 중지는 무엇인가?,중지
181,TRS,K2E,영어로 얻다는 무엇인가?,얻다
182,TRS,K2E,영어로 아니는 무엇인가?,아니
183,TRS,K2E,영어로 후는 무엇인가?,후
184,TRS,K2E,영어로 서비스는 무엇인가?,서비스
185,TRS,K2E,영어로 근처에는 무엇인가?,근처에
186,TRS,K2E,영어로 연기는 무엇인가?,연기
187,TRS,K2E,영어로 예는 무엇인가?,예
188,TRS,K2E,영어로 앉다는 무엇인가?,앉다
189,TRS,K2E,영어로 열다는 무엇인가?,열다
190,TRS,K2E,영어로 함께는 무엇인가?,함께
191,TRS,K2E,영어로 차는 무엇인가?,차
192,TRS,K2E,영어로 으로는 무엇인가?,으로
193,TRS,K2E,영어로 에는 무엇인가?,에
194,TRS,K2E,영어로 후는 무엇인가?,후
195,TRS,K2E,영어로 바닷가는 무엇인가?,바닷가
196,TRS,K2E,영어로 보트는 무엇인가?,보트
197,TRS,K2E,영어로 말하다는 무엇인가?,말하다
198,TRS,K2E,영어로 ...을 통하여는 무엇인가?,...을 통하여
199,TRS,K2E,영어로 빨래는 무엇인가?,빨래
200,TRS,K2E,영어로 여자 형제는 무엇인가?,여자 형제
201,TRS,K2E,영어로 크기는 무엇인가?,크기
202,TRS,K2E,영어로 엄마는 무엇인가?,엄마
203,TRS,K2E,영어로 변화는 무엇인가?,변화
204,TRS,K2E,영어로 팔다는 무엇인가?,팔다
205,TRS,K2E,영어로 할 수있다는 무엇인가?,할 수있다
206,TRS,K2E,영어로 일주는 무엇인가?,일주
207,TRS,K2E,영어로 대단히는 무엇인가?,대단히
208,TRS,K2E,영어로 쉬다는 무엇인가?,쉬다
209,TRS,K2E,영어로 택시는 무엇인가?,택시
210,TRS,K2E,영어로 상처는 무엇인가?,상처
211,TRS,K2E,영어로 듣다는 무엇인가?,듣다
212,TRS,K2E,영어로 상자는 뭐야?,상자
213,TRS,K2E,영어로 댄스는 뭐야?,댄스
214,TRS,K2E,영어로 건너서는 뭐야?,건너서
215,TRS,K2E,영어로 승리는 뭐야?,승리
216,TRS,K2E,영어로 설명하다는 뭐야?,설명하다
217,TRS,K2E,영어로 머리는 뭐야?,머리
218,TRS,K2E,영어로 저녁 식사는 뭐야?,저녁 식사
219,TRS,K2E,영어로 스위치는 뭐야?,스위치
220,TRS,K2E,영어로 팔다는 뭐야?,팔다
221,TRS,K2E,영어로 주기는 뭐야?,주기
222,TRS,K2E,영어로 고치다는 뭐야?,고치다
223,TRS,K2E,영어로 노래는 뭐야?,노래
224,TRS,K2E,영어로 댄스는 뭐야?,댄스
225,TRS,K2E,영어로 달러는 뭐야?,달러
226,TRS,K2E,영어로 댄스는 뭐야?,댄스
227,TRS,K2E,영어로 상자는 뭐야?,상자
228,TRS,K2E,영어로 미터는 뭐야?,미터
229,TRS,K2E,영어로 스웨터는 뭐야?,스웨터
230,TRS,K2E,영어로 아버지는 뭐야?,아버지
231,TRS,K2E,영어로 함께는 뭐야?,함께
232,TRS,K2E,영어로 보통의는 뭐야?,보통의
233,TRS,K2E,영어로 상자는 뭐야?,상자
234,TRS,K2E,영어로 가르치다는 뭐야?,가르치다
235,TRS,K2E,영어로 이해하다는 뭐야?,이해하다
236,TRS,K2E,영어로 교회에는 뭐야?,교회에
237,TRS,K2E,영어로 이는 뭐야?,이
238,TRS,K2E,영어로 주사위는 뭐야?,주사위
239,TRS,K2E,영어로 전화는 뭐야?,전화
240,TRS,K2E,영어로 단계는 뭐야?,단계
241,TRS,K2E,영어로 표는 뭐야?,표
242,TRS,K2E,영어로 공기는 뭐야?,공기
243,TRS,K2E,영어로 가스는 뭐야?,가스
244,TRS,K2E,영어로 종료는 뭐야?,종료
245,TRS,K2E,영어로 바닷가는 뭐야?,바닷가
246,TRS,K2E,영어로 하여야 한다는 뭐야?,하여야 한다
247,TRS,K2E,영어로 테니스는 뭐야?,테니스
248,TRS,K2E,영어로 비누는 뭐야?,비누
249,TRS,K2E,영어로 베이스는 뭐야?,베이스
250,TRS,K2E,영어로 그곳에는 뭐야?,그곳에
251,TRS,K2E,영어로 네는 뭐야?,네
252,TRS,K2E,영어로 줄자는 뭐야?,줄자
253,TRS,K2E,영어로 음주는 뭐야?,음주
254,TRS,K2E,영어로 ...에서는 뭐야?,...에서
255,TRS,K2E,영어로 컴퓨터는 뭐야?,컴퓨터
256,TRS,K2E,영어로 시는 뭐야?,시
257,TRS,K2E,영어로 시는 뭐야?,시
258,TRS,K2E,영어로 떨어져는 뭐야?,떨어져
259,TRS,K2E,영어로 우표는 뭐야?,우표
260,TRS,K2E,영어로 샐러드는 뭐야?,샐러드
261,TRS,K2E,영어로 가위는 뭐야?,가위
262,TRS,K2E,영어로 요구는 뭐야?,요구
263,TRS,K2E,영어로 보내다는 뭐야?,보내다
264,TRS,K2E,영어로 브러시는 뭐야?,브러시
265,TRS,K2E,영어로 요리는 뭐야?,요리
266,TRS,K2E,영어로 저녁 식사는 뭐야?,저녁 식사
267,TRS,K2E,영어로 울음 소리는 뭐야?,울음 소리
268,TRS,K2E,영어로 저녁 식사는 뭐야?,저녁 식사
269,TRS,K2E,영어로 우유는 뭐야?,우유
270,TRS,K2E,영어로 알고있다는 뭐야?,알고있다
271,TRS,K2E,영어로 드라이브는 뭐야?,드라이브
272,TRS,K2E,영어로 타기는 뭐야?,타기
273,TRS,K2E,영어로 놓다는 뭐야?,놓다
274,TRS,K2E,영어로 포인트는 뭐야?,포인트
275,TRS,K2E,영어로 표는 뭐야?,표
276,TRS,K2E,영어로 호랑이는 뭐야?,호랑이
277,TRS,K2E,영어로 크기는 뭐야?,크기
278,TRS,K2E,영어로 ...에는 뭐야?,...에
279,TRS,K2E,영어로 전화는 뭐야?,전화
280,TRS,K2E,영어로 팔다는 뭐야?,팔다
281,TRS,K2E,영어로 뭐는 뭐야?,뭐
282,TRS,K2E,영어로 캠프는 뭐야?,캠프
283,TRS,K2E,영어로 가로 질러 가다는 뭐야?,가로 질러 가다
284,TRS,K2E,영어로 말하다는 뭐야?,말하다
285,TRS,K2E,영어로 기호는 뭐야?,기호
286,TRS,K2E,영어로 중지는 뭐야?,중지
287,TRS,K2E,영어로 얻다는 뭐야?,얻다
288,TRS,K2E,영어로 아니는 뭐야?,아니
289,TRS,K2E,영어로 후는 뭐야?,후
290,TRS,K2E,영어로 서비스는 뭐야?,서비스
291,TRS,K2E,영어로 근처에는 뭐야?,근처에
292,TRS,K2E,영어로 연기는 뭐야?,연기
293,TRS,K2E,영어로 예는 뭐야?,예
294,TRS,K2E,영어로 앉다는 뭐야?,앉다
295,TRS,K2E,영어로 열다는 뭐야?,열다
296,TRS,K2E,영어로 함께는 뭐야?,함께
297,TRS,K2E,영어로 차는 뭐야?,차
298,TRS,K2E,영어로 으로는 뭐야?,으로
299,TRS,K2E,영어로 에는 뭐야?,에
300,TRS,K2E,영어로 후는 뭐야?,후
301,TRS,K2E,영어로 바닷가는 뭐야?,바닷가
302,TRS,K2E,영어로 보트는 뭐야?,보트
303,TRS,K2E,영어로 말하다는 뭐야?,말하다
304,TRS,K2E,영어로 ...을 통하여는 뭐야?,...을 통하여
305,TRS,K2E,영어로 빨래는 뭐야?,빨래
306,TRS,K2E,영어로 여자 형제는 뭐야?,여자 형제
307,TRS,K2E,영어로 크기는 뭐야?,크기
308,TRS,K2E,영어로 엄마는 뭐야?,엄마
309,TRS,K2E,영어로 변화는 뭐야?,변화
310,TRS,K2E,영어로 팔다는 뭐야?,팔다
311,TRS,K2E,영어로 할 수있다는 뭐야?,할 수있다
312,TRS,K2E,영어로 일주는 뭐야?,일주
313,TRS,K2E,영어로 대단히는 뭐야?,대단히
314,TRS,K2E,영어로 쉬다는 뭐야?,쉬다
315,TRS,K2E,영어로 택시는 뭐야?,택시
316,TRS,K2E,영어로 상처는 뭐야?,상처
317,TRS,K2E,영어로 듣다는 뭐야?,듣다
318,TRS,K2E,영어로 상자가 뭐야?,상자
319,TRS,K2E,영어로 댄스가 뭐야?,댄스
320,TRS,K2E,영어로 건너서가 뭐야?,건너서
321,TRS,K2E,영어로 승리가 뭐야?,승리
322,TRS,K2E,영어로 설명하다가 뭐야?,설명하다
323,TRS,K2E,영어로 머리가 뭐야?,머리
324,TRS,K2E,영어로 저녁 식사가 뭐야?,저녁 식사
325,TRS,K2E,영어로 스위치가 뭐야?,스위치
326,TRS,K2E,영어로 팔다가 뭐야?,팔다
327,TRS,K2E,영어로 주기가 뭐야?,주기
328,TRS,K2E,영어로 고치다가 뭐야?,고치다
329,TRS,K2E,영어로 노래가 뭐야?,노래
330,TRS,K2E,영어로 댄스가 뭐야?,댄스
331,TRS,K2E,영어로 달러가 뭐야?,달러
332,TRS,K2E,영어로 댄스가 뭐야?,댄스
333,TRS,K2E,영어로 상자가 뭐야?,상자
334,TRS,K2E,영어로 미터가 뭐야?,미터
335,TRS,K2E,영어로 스웨터가 뭐야?,스웨터
336,TRS,K2E,영어로 아버지가 뭐야?,아버지
337,TRS,K2E,영어로 함께가 뭐야?,함께
338,TRS,K2E,영어로 보통의가 뭐야?,보통의
339,TRS,K2E,영어로 상자가 뭐야?,상자
340,TRS,K2E,영어로 가르치다가 뭐야?,가르치다
341,TRS,K2E,영어로 이해하다가 뭐야?,이해하다
342,TRS,K2E,영어로 교회에가 뭐야?,교회에
343,TRS,K2E,영어로 이가 뭐야?,이
344,TRS,K2E,영어로 주사위가 뭐야?,주사위
345,TRS,K2E,영어로 전화가 뭐야?,전화
346,TRS,K2E,영어로 단계가 뭐야?,단계
347,TRS,K2E,영어로 표가 뭐야?,표
348,TRS,K2E,영어로 공기가 뭐야?,공기
349,TRS,K2E,영어로 가스가 뭐야?,가스
350,TRS,K2E,영어로 종료가 뭐야?,종료
351,TRS,K2E,영어로 바닷가가 뭐야?,바닷가
352,TRS,K2E,영어로 하여야 한다가 뭐야?,하여야 한다
353,TRS,K2E,영어로 테니스가 뭐야?,테니스
354,TRS,K2E,영어로 비누가 뭐야?,비누
355,TRS,K2E,영어로 베이스가 뭐야?,베이스
356,TRS,K2E,영어로 그곳에가 뭐야?,그곳에
357,TRS,K2E,영어로 네가 뭐야?,네
358,TRS,K2E,영어로 줄자가 뭐야?,줄자
359,TRS,K2E,영어로 음주가 뭐야?,음주
360,TRS,K2E,영어로 ...에서가 뭐야?,...에서
361,TRS,K2E,영어로 컴퓨터가 뭐야?,컴퓨터
362,TRS,K2E,영어로 시가 뭐야?,시
363,TRS,K2E,영어로 시가 뭐야?,시
364,TRS,K2E,영어로 떨어져가 뭐야?,떨어져
365,TRS,K2E,영어로 우표가 뭐야?,우표
366,TRS,K2E,영어로 샐러드가 뭐야?,샐러드
367,TRS,K2E,영어로 가위가 뭐야?,가위
368,TRS,K2E,영어로 요구가 뭐야?,요구
369,TRS,K2E,영어로 보내다가 뭐야?,보내다
370,TRS,K2E,영어로 브러시가 뭐야?,브러시
371,TRS,K2E,영어로 요리가 뭐야?,요리
372,TRS,K2E,영어로 저녁 식사가 뭐야?,저녁 식사
373,TRS,K2E,영어로 울음 소리가 뭐야?,울음 소리
374,TRS,K2E,영어로 저녁 식사가 뭐야?,저녁 식사
375,TRS,K2E,영어로 우유가 뭐야?,우유
376,TRS,K2E,영어로 알고있다가 뭐야?,알고있다
377,TRS,K2E,영어로 드라이브가 뭐야?,드라이브
378,TRS,K2E,영어로 타기가 뭐야?,타기
379,TRS,K2E,영어로 놓다가 뭐야?,놓다
380,TRS,K2E,영어로 포인트가 뭐야?,포인트
381,TRS,K2E,영어로 표가 뭐야?,표
382,TRS,K2E,영어로 호랑이가 뭐야?,호랑이
383,TRS,K2E,영어로 크기가 뭐야?,크기
384,TRS,K2E,영어로 ...에가 뭐야?,...에
385,TRS,K2E,영어로 전화가 뭐야?,전화
386,TRS,K2E,영어로 팔다가 뭐야?,팔다
387,TRS,K2E,영어로 뭐가 뭐야?,뭐
388,TRS,K2E,영어로 캠프가 뭐야?,캠프
389,TRS,K2E,영어로 가로 질러 가다가 뭐야?,가로 질러 가다
390,TRS,K2E,영어로 말하다가 뭐야?,말하다
391,TRS,K2E,영어로 기호가 뭐야?,기호
392,TRS,K2E,영어로 중지가 뭐야?,중지
393,TRS,K2E,영어로 얻다가 뭐야?,얻다
394,TRS,K2E,영어로 아니가 뭐야?,아니
395,TRS,K2E,영어로 후가 뭐야?,후
396,TRS,K2E,영어로 서비스가 뭐야?,서비스
397,TRS,K2E,영어로 근처에가 뭐야?,근처에
398,TRS,K2E,영어로 연기가 뭐야?,연기
399,TRS,K2E,영어로 예가 뭐야?,예
400,TRS,K2E,영어로 앉다가 뭐야?,앉다
401,TRS,K2E,영어로 열다가 뭐야?,열다
402,TRS,K2E,영어로 함께가 뭐야?,함께
403,TRS,K2E,영어로 차가 뭐야?,차
404,TRS,K2E,영어로 으로가 뭐야?,으로
405,TRS,K2E,영어로 에가 뭐야?,에
406,TRS,K2E,영어로 후가 뭐야?,후
407,TRS,K2E,영어로 바닷가가 뭐야?,바닷가
408,TRS,K2E,영어로 보트가 뭐야?,보트
409,TRS,K2E,영어로 말하다가 뭐야?,말하다
410,TRS,K2E,영어로 ...을 통하여가 뭐야?,...을 통하여
411,TRS,K2E,영어로 빨래가 뭐야?,빨래
412,TRS,K2E,영어로 여자 형제가 뭐야?,여자 형제
413,TRS,K2E,영어로 크기가 뭐야?,크기
414,TRS,K2E,영어로 엄마가 뭐야?,엄마
415,TRS,K2E,영어로 변화가 뭐야?,변화
416,TRS,K2E,영어로 팔다가 뭐야?,팔다
417,TRS,K2E,영어로 할 수있다가 뭐야?,할 수있다
418,TRS,K2E,영어로 일주가 뭐야?,일주
419,TRS,K2E,영어로 대단히가 뭐야?,대단히
420,TRS,K2E,영어로 쉬다가 뭐야?,쉬다
421,TRS,K2E,영어로 택시가 뭐야?,택시
422,TRS,K2E,영어로 상처가 뭐야?,상처
423,TRS,K2E,영어로 듣다가 뭐야?,듣다
424,TRS,K2E,영어로 빨간이 뭐에요?,빨간
425,TRS,K2E,영어로 음악이 뭐에요?,음악
426,TRS,K2E,영어로 저녁이 뭐에요?,저녁
427,TRS,K2E,영어로 손이 뭐에요?,손
428,TRS,K2E,영어로 마을이 뭐에요?,마을
429,TRS,K2E,영어로 또는이 뭐에요?,또는
430,TRS,K2E,영어로 운이 뭐에요?,운
431,TRS,K2E,영어로 봄이 뭐에요?,봄
432,TRS,K2E,영어로 그림이 뭐에요?,그림
433,TRS,K2E,영어로 클럽이 뭐에요?,클럽
434,TRS,K2E,영어로 두번이 뭐에요?,두번
435,TRS,K2E,영어로 앞이 뭐에요?,앞
436,TRS,K2E,영어로 타격이 뭐에요?,타격
437,TRS,K2E,영어로 분이 뭐에요?,분
438,TRS,K2E,영어로 오늘 밤이 뭐에요?,오늘 밤
439,TRS,K2E,영어로 마을이 뭐에요?,마을
440,TRS,K2E,영어로 백이 뭐에요?,백
441,TRS,K2E,영어로 공항이 뭐에요?,공항
442,TRS,K2E,영어로 시즌이 뭐에요?,시즌
443,TRS,K2E,영어로 병든이 뭐에요?,병든
444,TRS,K2E,영어로 접촉이 뭐에요?,접촉
445,TRS,K2E,영어로 무거운이 뭐에요?,무거운
446,TRS,K2E,영어로 오늘이 뭐에요?,오늘
447,TRS,K2E,영어로 바쁜이 뭐에요?,바쁜
448,TRS,K2E,영어로 운영이 뭐에요?,운영
449,TRS,K2E,영어로 노랑이 뭐에요?,노랑
450,TRS,K2E,영어로 교훈이 뭐에요?,교훈
451,TRS,K2E,영어로 하느님이 뭐에요?,하느님
452,TRS,K2E,영어로 신전이 뭐에요?,신전
453,TRS,K2E,영어로 선택이 뭐에요?,선택
454,TRS,K2E,영어로 멋있는이 뭐에요?,멋있는
455,TRS,K2E,영어로 시험이 뭐에요?,시험
456,TRS,K2E,영어로 화려한이 뭐에요?,화려한
457,TRS,K2E,영어로 운이 뭐에요?,운
458,TRS,K2E,영어로 사격이 뭐에요?,사격
459,TRS,K2E,영어로 대낮이 뭐에요?,대낮
460,TRS,K2E,영어로 시각이 뭐에요?,시각
461,TRS,K2E,영어로 몸이 뭐에요?,몸
462,TRS,K2E,영어로 장갑이 뭐에요?,장갑
463,TRS,K2E,영어로 별이 뭐에요?,별
464,TRS,K2E,영어로 단단한이 뭐에요?,단단한
465,TRS,K2E,영어로 질문이 뭐에요?,질문
466,TRS,K2E,영어로 슈퍼마켓이 뭐에요?,슈퍼마켓
467,TRS,K2E,영어로 죽은이 뭐에요?,죽은
468,TRS,K2E,영어로 접촉이 뭐에요?,접촉
469,TRS,K2E,영어로 다만이 뭐에요?,다만
470,TRS,K2E,영어로 뜨거운이 뭐에요?,뜨거운
471,TRS,K2E,영어로 빨간이 뭐에요?,빨간
472,TRS,K2E,영어로 호텔이 뭐에요?,호텔
473,TRS,K2E,영어로 그릇된이 뭐에요?,그릇된
474,TRS,K2E,영어로 안녕이 뭐에요?,안녕
475,TRS,K2E,영어로 부드러운이 뭐에요?,부드러운
476,TRS,K2E,영어로 선장이 뭐에요?,선장
477,TRS,K2E,영어로 설탕이 뭐에요?,설탕
478,TRS,K2E,영어로 일이 뭐에요?,일
